Stock Name,Date,Open,High,Low,Close,Volume,Chg%
Power Grid Corporation of India Ltd.,2020-12-23 00:00:00,106.15,106.27,104.77,105.3,9840000.0,-0.18
Mahindra & Mahindra Ltd.,2022-04-08 00:00:00,830.0,860.65,827.05,857.4,4150000.0,2.77
LTIMindtree Ltd.,2021-06-18 00:00:00,4190.95,4224.63,3991.53,4063.72,463740.0,-2.34
Asian Paints Ltd.,2022-07-27 00:00:00,3118.95,3193.0,3096.0,3186.05,1980000.0,2.49
LTIMindtree Ltd.,2022-09-08 00:00:00,4569.0,4572.95,4509.7,4523.45,210690.0,0.29
Britannia Industries Ltd.,2022-05-31 00:00:00,3576.6,3700.0,3555.25,3647.8,562990.0,2.0
Coal India Ltd.,2022-05-05 00:00:00,189.5,191.95,184.7,185.85,12650000.0,-0.8
Bajaj Finserv Ltd.,2020-08-27 00:00:00,660.5,660.5,648.75,653.08,4620000.0,-0.51
SBI Life Insurance Company Ltd.,2019-11-01 00:00:00,993.3,1009.0,993.3,997.5,655250.0,0.61
NTPC Ltd.,2020-07-03 00:00:00,93.6,95.35,92.75,94.5,15270000.0,1.18
Bharti Airtel Ltd.,2020-09-24 00:00:00,417.41,425.51,408.48,411.57,36460000.0,-3.34
HDFC Life Insurance Company Ltd.,2021-07-12 00:00:00,684.5,686.65,680.1,682.95,1380000.0,-0.04
Larsen & Toubro Ltd.,2023-07-19 00:00:00,2474.6,2502.95,2466.4,2494.15,1430000.0,0.79
Bajaj Finance Ltd.,2022-05-09 00:00:00,5961.0,6135.25,5832.55,6036.95,1940000.0,0.61
HDFC Life Insurance Company Ltd.,2023-03-21 00:00:00,467.0,484.0,466.5,482.75,4360000.0,3.76
Apollo Hospitals Enterprises Ltd.,2020-05-04 00:00:00,1394.65,1427.15,1355.5,1371.75,1530000.0,-1.62
Tech Mahindra Ltd.,2021-01-21 00:00:00,971.36,978.32,941.54,951.2,3910000.0,-1.45
Tata Steel Ltd.,2022-04-12 00:00:00,135.3,135.99,129.61,132.02,69190000.0,-2.77
Hindustan Unilever Ltd.,2023-02-06 00:00:00,2631.0,2645.0,2599.75,2637.6,1700000.0,-0.42
Asian Paints Ltd.,2021-05-20 00:00:00,2814.0,2845.0,2778.5,2794.1,1210000.0,-0.77
Larsen & Toubro Ltd.,2023-05-09 00:00:00,2367.65,2401.9,2367.65,2374.35,1420000.0,0.38
Reliance Industries Ltd.,2023-03-22 00:00:00,2285.0,2291.45,2270.0,2276.6,5040000.0,0.3
Sun Pharmaceutical Industries Ltd.,2022-07-04 00:00:00,825.3,839.65,821.9,829.4,2100000.0,0.02
Sun Pharmaceutical Industries Ltd.,2020-03-31 00:00:00,340.1,355.0,328.25,352.3,9950000.0,5.89
Larsen & Toubro Ltd.,2020-12-30 00:00:00,1288.2,1296.35,1271.0,1292.05,2870000.0,0.56
Adani Enterprises Ltd.,2021-01-13 00:00:00,529.1,540.2,521.3,536.05,4950000.0,2.03
Wipro Ltd.,2020-04-08 00:00:00,191.5,200.0,188.8,192.9,5140000.0,0.52
Axis Bank Ltd.,2022-09-30 00:00:00,720.0,737.75,714.4,733.2,9540000.0,1.97
Bajaj Auto Ltd.,2019-11-22 00:00:00,3180.0,3186.0,3133.5,3152.35,285780.0,-1.13
HDFC Life Insurance Company Ltd.,2020-04-30 00:00:00,500.0,510.7,493.15,501.05,3750000.0,1.66
Dr. Reddy's Laboratories Ltd.,2020-12-11 00:00:00,5055.1,5084.05,4984.8,5016.95,767960.0,-0.72
